Signal_Id,Signal_Time,Symbol,Direction,Entry,SL_Pips,TP_Pips,SL_Price,TP_Price,RR_Ratio,Dynamic_Lot,Confidence,ZF_Score,Drift,Close_Time,Result,Bars_To_Result,R_Result,Action_Signal,Signal_Type,Setup_Maturity,Projection_Score,Accuracy_Quality_Score,Accuracy_Gate,Liquidity_Status,Spread_Pips,Slippage_Est_Pips,Optimizer_Mode,Historical_Status,News_Risk,DXY,US10Y,GOLD,Timeframe,Exit_Mode,Net_Profit
EURAUD.m_SELL_20260612_172113,2026-06-12T17:21:13.465628+08:00,EURAUD.m,SELL,1.64302,17.5,22.1,1.6447699999999998,1.64081,1.26,0.86,83.0,0.2833434867064158,0.0810531288924363,2026-06-13T09:13:45.007454+08:00,LOSS,1.0,-1.0,,,,,,,,,,,,,,,,,,
EURGBP.m_SELL_20260612_172113,2026-06-12T17:21:13.465879+08:00,EURGBP.m,SELL,0.86307,6.0,7.5,0.86367,0.86232,1.25,2.5,83.0,0.2392118441659976,0.0125471460406207,2026-06-13T09:13:45.010789+08:00,WIN,28.0,1.25,,,,,,,,,,,,,,,,,,
EURGBP.m_SELL_20260615_160002,2026-06-15T16:00:02.706518+08:00,EURGBP.m,SELL,0.86401,6.9,8.6,0.8646999999999999,0.86315,1.25,2.17,72.0,0.5954618855600116,0.02017569376072,2026-06-15T21:30:04.480493+08:00,LOSS,10.0,-1.0,PROYEKSI 30M,PROJECTED,1.0538,0.8143,63.36,PASS,LAMINAR,0.5000000000010552,0.44,LEARNING,TRADEABLE,LOW RISK,99.53199768066406,4.486999988555908,4334.2001953125,,,
NZDCHF.m_BUY_20260615_163001,2026-06-15T16:30:01.840843+08:00,NZDCHF.m,BUY,0.46372,7.0,8.8,0.46302,0.4646,1.25,2.14,83.0,0.5826588534718005,0.0349094179819541,2026-06-15T21:30:04.482678+08:00,LOSS,9.0,-1.0,EKSEKUSI,STRICT,1.0434,0.8075,62.11,PASS,LAMINAR,0.7999999999996897,0.7,DEFAULT,TRADEABLE,LOW RISK,99.51200103759766,4.486999988555908,4349.89990234375,,,
MT5_DEAL_2994705537,2026-06-17T10:04:35+08:00,GBPCHFm,UNKNOWN,,,,,,1.0,0.01,,,,,LOSS,,-1.0,FORWARD_DEMO,FORWARD_DEMO,,,,,,,,,,,,,,M15,FORWARD_DEMO,-2.42
AUDUSDm_SELL_20260617_221548,2026-06-17T22:15:48.521400+08:00,AUDUSDm,SELL,0.70705,7.6,9.5,0.7078099999999999,0.7061,1.25,1.97,83.0,0.6642733693133768,0.0109810129598364,2026-06-17T23:00:02.139419+08:00,WIN,1.0,1.25,EKSEKUSI,STRICT,1.25,0.9533,67.65,PASS,LAMINAR,0.900000000000345,0.79,DEFAULT,TRADEABLE,LOW RISK,99.63700103759766,4.432000160217285,4360.39990234375,M15,DYNAMIC_SL_TP,
AUDCADm_SELL_20260617_221548,2026-06-17T22:15:48.521706+08:00,AUDCADm,SELL,0.99057,15.5,19.4,0.99212,0.98863,1.25,0.97,73.0,0.7174643969558151,0.008661328465834,2026-06-18T00:00:01.939478+08:00,LOSS,5.0,-1.0,EKSEKUSI,STRICT,1.2271,0.9567,57.81,PASS,STRESSED,1.80000000000069,1.58,DEFAULT,WATCH_ONLY,LOW RISK,99.63700103759766,4.432000160217285,4360.39990234375,M15,DYNAMIC_SL_TP,
NZDCADm_SELL_20260617_221548,2026-06-17T22:15:48.521564+08:00,NZDCADm,SELL,0.81542,12.3,15.4,0.81665,0.81388,1.25,1.22,73.0,0.6768559615861008,0.0201299132093886,2026-06-18T09:52:26.553056+08:00,WIN,14.0,1.25,EKSEKUSI,STRICT,1.25,0.96,59.06,PASS,STRESSED,1.7999999999995795,1.57,DEFAULT,WATCH_ONLY,LOW RISK,99.63700103759766,4.432000160217285,4360.39990234375,M15,DYNAMIC_SL_TP,
EURAUDm_BUY_20260617_223102,2026-06-17T22:31:02.712991+08:00,EURAUDm,BUY,1.6395300000000002,11.7,14.6,1.6383600000000005,1.6409900000000002,1.25,1.28,73.0,0.6584961627773424,0.0205797856221526,2026-06-18T09:52:26.554177+08:00,LOSS,13.0,-1.0,EKSEKUSI,STRICT,1.0213,0.8149,60.82,PASS,STRESSED,1.6999999999978144,1.49,DEFAULT,WATCH_ONLY,LOW RISK,99.66200256347656,4.438000202178955,4363.0,M15,DYNAMIC_SL_TP,
AUDCHFm_SELL_20260617_223102,2026-06-17T22:31:02.713192+08:00,AUDCHFm,SELL,0.56069,9.5,11.9,0.56164,0.5595,1.25,1.58,83.0,0.6489570286107493,0.0126338126203086,2026-06-18T09:52:26.554840+08:00,LOSS,17.0,-1.0,EKSEKUSI,STRICT,1.0068,0.8019,67.56,PASS,LAMINAR,0.8999999999992347,0.79,DEFAULT,WATCH_ONLY,LOW RISK,99.66200256347656,4.438000202178955,4363.0,M15,DYNAMIC_SL_TP,
